target_1,y_test_1,predicted_1,evja_temp_1,target_2,y_test_2,predicted_2,evja_temp_2,target_3,y_test_3,predicted_3,evja_temp_3,target_4,y_test_4,predicted_4,evja_temp_4,target_5,y_test_5,predicted_5,evja_temp_5,target_6,y_test_6,predicted_6,evja_temp_6,target_7,y_test_7,predicted_7,evja_temp_7
6.837,6.837,6.1511784,6.0,6.86,6.859999,5.747938,6.0,6.799,6.7990007,6.2590175,6.0,6.753,6.7529993,6.2493644,6.0,7.141,7.1409993,6.3768587,6.0,7.196,7.196,6.461042,6.0,7.481,7.481,6.7672987,6.0
6.679,6.679,6.4337482,5.8,6.717,6.716999,5.6339664,5.8,6.577,6.577,6.436696,5.8,6.61,6.61,6.164459,5.8,7.341,7.341,6.3780704,5.8,7.355,7.3550005,6.3501377,5.8,7.365,7.365,6.4599633,5.8
6.648,6.647999,6.517347,5.7,6.694,6.694,5.7358,5.7,6.472,6.472,6.5987816,5.7,6.477,6.477,6.198246,5.7,7.291,7.2910004,6.498843,5.7,7.233,7.233,6.7270207,5.7,7.363,7.363,6.6570992,5.7
6.698,6.698001,7.351023,5.7,6.685,6.6849995,6.3956494,5.7,6.514,6.514,7.351317,5.7,6.507,6.5069995,6.884747,5.7,7.373,7.3730006,7.0073395,5.7,7.454,7.454,7.4937315,5.7,7.464,7.464,7.3297887,5.7
10.971,10.971,9.472821,9.2,10.957,10.957001,8.807296,9.2,10.478,10.478,9.540251,9.2,10.844,10.844,9.258699,9.2,10.87,10.87,9.157402,9.2,11.161,11.161,9.62475,9.2,11.869,11.869,9.552793,9.2
12.015,12.015,9.332591,10.3,11.719,11.719001,8.523445,10.3,11.543,11.543001,9.126716,10.3,11.712,11.712,8.846588,10.3,11.595,11.595,9.199106,10.3,11.572,11.572,9.277895,10.3,12.113,12.113,9.448349,10.3
8.968,8.968,11.19066,8.2,9.047,9.047,10.594652,8.2,8.711,8.711,11.501221,8.2,8.832,8.832,10.970398,8.2,9.216,9.216,11.53176,8.2,9.307,9.307,12.117939,8.2,9.549,9.549001,10.982561,8.2
15.505,15.505001,12.249139,14.5,16.02,16.02,11.418813,14.5,16.51,16.51,12.038527,14.5,16.881,16.881,11.80322,14.5,15.44,15.44,12.456616,14.5,16.356,16.356,12.758752,14.5,16.972,16.972,12.000787,14.5
8.967,8.966999,6.5267396,8.7,8.961,8.961,5.9330406,8.7,9.213,9.213001,7.047682,8.7,9.087,9.087,7.087081,8.7,9.834,9.834,7.3403473,8.7,10.271,10.271,6.8979325,8.7,10.11,10.11,7.1854997,8.7
2.348,2.3479998,3.8781507,1.4,2.255,2.2550004,3.5383148,1.4,2.371,2.371,4.685888,1.4,2.259,2.2590003,4.846573,1.4,3.434,3.4340003,4.8388305,1.4,3.317,3.3170002,4.4393787,1.4,4.348,4.348,4.682553,1.4
