,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target_1,y_test_1,predicted_1,evja_temp_1,target_2,y_test_2,predicted_2,evja_temp_2,target_3,y_test_3,predicted_3,evja_temp_3,target_4,y_test_4,predicted_4,evja_temp_4,target_5,y_test_5,predicted_5,evja_temp_5,target_6,y_test_6,predicted_6,evja_temp_6,target_7,y_test_7,predicted_7,evja_temp_7
101,101,101,101,101,101,101,17.259,17.258999,12.345233,16.4,12.948,12.948001,14.233655,11.9,4.361,4.3610005,10.5535965,3.4,-0.069,-0.06900002,14.525364,-0.8,27.581,27.581,14.654897,27.1,18.736,18.736,15.752279,18.2,7.267,7.2670007,14.585072,5.4
102,102,102,102,102,102,102,3.881,3.8809996,13.360259,3.0,15.925,15.925,17.521103,15.2,6.596,6.596,12.824901,5.9,16.799,16.799002,18.703808,16.4,28.871,28.871,20.499596,28.9,16.25,16.25,19.63956,15.4,11.113,11.113,13.741106,9.3
103,103,103,103,103,103,103,6.291,6.291,18.962717,5.6,4.77,4.77,18.569471,4.0,28.571,28.571,19.232887,27.4,20.741,20.740997,16.807972,18.7,16.697,16.697,22.419916,15.9,14.982,14.982,18.84121,14.4,8.627,8.627,21.170115,7.1
104,104,104,104,104,104,104,15.191,15.191,15.063123,14.3,5.411,5.411,10.916639,4.4,23.447,23.447,27.881948,23.2,29.735,29.735,16.423735,29.2,24.252,24.252,18.54249,23.4,19.859,19.859001,17.939293,18.4,10.942,10.942,15.5586405,10.2
105,105,105,105,105,105,105,17.642,17.642002,15.987971,16.9,11.637,11.637,17.008648,10.1,6.382,6.382,12.075286,5.6,14.113,14.113,18.262732,13.2,13.52,13.52,13.04699,13.1,12.533,12.532999,18.337492,12.0,16.896,16.896,16.763391,16.3
106,106,106,106,106,106,106,12.48,12.48,21.428066,11.4,25.793,25.793001,20.495966,27.0,16.254,16.254002,16.894194,15.8,25.157,25.157,20.900318,23.5,14.722,14.722,16.463825,13.8,14.3,14.3,13.606416,13.3,19.856,19.856,10.487531,19.9
107,107,107,107,107,107,107,14.346,14.346,20.74577,13.6,18.843,18.843002,16.566656,18.0,8.54,8.54,11.351021,7.1,30.635,30.635,20.14191,27.4,28.372,28.372,14.13837,31.3,18.298,18.298002,18.66384,18.0,32.407,32.407,21.317913,29.2
108,108,108,108,108,108,108,13.669,13.669,19.468616,13.1,18.274,18.274,16.998816,18.3,30.147,30.147,14.416801,27.9,7.464,7.4639997,20.758625,6.5,27.461,27.461,17.86644,26.9,24.061,24.061,21.965273,23.5,14.726,14.726,15.199844,13.3
109,109,109,109,109,109,109,22.738,22.737999,13.898329,22.1,15.142,15.142,18.675047,14.0,23.124,23.124,18.022627,22.5,12.933,12.933,19.502998,12.3,7.292,7.292,13.981728,5.5,14.256,14.256,11.797361,13.5,26.761,26.761,14.953118,29.9
110,110,110,110,110,110,110,24.733,24.732998,15.415328,24.8,29.798,29.798,14.103755,32.3,4.361,4.3610005,17.222857,3.0,11.233,11.233,20.39768,10.2,16.697,16.697,15.938282,15.7,4.741,4.741,19.68709,2.2,4.924,4.924,18.020494,2.6
111,111,111,111,111,111,111,18.9,18.9,24.103119,19.5,28.867,28.867,16.899893,31.4,18.714,18.714003,18.023085,18.8,30.125,30.125,14.153069,29.8,17.135,17.135,17.46252,15.7,16.417,16.417,16.28554,15.2,17.098,17.098,19.418953,16.6
112,112,112,112,112,112,112,24.27,24.269999,15.3804035,24.4,19.923,19.923,18.154358,19.1,10.147,10.147,15.8814335,9.0,32.982,32.982,23.729273,26.4,29.832,29.832,18.768208,26.8,23.674,23.674,20.55882,23.3,10.006,10.006,10.597526,7.5
113,113,113,113,113,113,113,18.43,18.430002,19.507364,17.6,20.579,20.579,19.086277,19.8,26.236,26.236,18.38444,26.0,14.786,14.786,21.196436,14.1,19.75,19.75,12.644896,19.1,13.961,13.961,17.88847,13.3,20.904,20.904,19.68868,19.8
114,114,114,114,114,114,114,3.817,3.817,18.672663,2.6,14.498,14.498002,19.67884,13.7,26.494,26.494,20.772144,29.6,17.894,17.894,17.215324,16.3,10.219,10.219,22.091003,8.9,23.797,23.797005,28.020634,23.2,25.579,25.579,20.237583,26.3
115,115,115,115,115,115,115,18.808,18.807997,16.749363,18.0,21.53,21.53,17.63774,21.4,16.649,16.649,14.04503,14.9,16.135,16.135,20.032892,15.2,17.702,17.702,16.744432,16.8,15.184,15.184,16.56733,14.4,24.531,24.530998,16.251827,25.4
116,116,116,116,116,116,116,25.752,25.752,18.443995,25.7,13.15,13.150002,16.730091,12.4,13.736,13.736,13.868187,13.3,22.052,22.052,16.143604,21.3,14.827,14.827,16.765673,14.3,22.402,22.402002,25.32518,21.4,23.363,23.362999,19.67217,23.6
